20230730-113324-8212 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,2308> to <0,2309>
20230730-113324-8213 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,2309> to <0,2310>
20230730-113334-4386 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,27126>
20230730-113334-4387 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,27127>
20230730-113334-4398 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,27126> to <0,27136>
20230730-113334-4401 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,27127> to <0,27137>
20230730-113334-4402 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,27129> to <0,27139>
20230730-113334-4407 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,27136> to <0,27142>
20230730-113337-6080 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,34645>
20230730-113337-6081 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,34645> to <0,34645>
20230730-113338-9777 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,37908>
20230730-113338-9779 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,37910>
20230730-113340-6435 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,42368> to <0,42368>
20230730-113342-9865 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,48838> to <0,48839>
20230730-113342-9867 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,48840> to <0,48841>
20230730-113347-0694 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,57492> to <0,57494>
20230730-113347-0697 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,57493> to <0,57499>
20230730-113347-0698 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,57495> to <0,57501>
20230730-113347-0700 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,57498> to <0,57502>
20230730-113352-2206 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2212 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2212 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2216 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2217 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2223 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2228 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2229 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2236 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2244 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2252 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2253 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2977 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2982 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2983 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2986 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2986 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2989 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-3120 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-3124 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-3129 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-3133 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-3140 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-3145 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-3147 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-3148 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-3510 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113354-9764 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,76845>
20230730-113354-9765 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,76846>
20230730-113403-9211 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,88287>
