20230730-113324-7400 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,1983> to <0,1984>
20230730-113324-7400 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,1983> to <0,1984>
20230730-113324-7402 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,1984> to <0,1985>
20230730-113324-7402 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,1984> to <0,1985>
20230730-113336-0476 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,31084> to <0,31086>
20230730-113336-0478 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,31085> to <0,31087>
20230730-113336-0478 00057 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,31086> to <0,31087>
20230730-113346-9988 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113346-9990 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113346-9991 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113346-9993 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113346-9994 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113346-9997 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113346-9997 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113346-9999 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0001 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0002 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0003 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0005 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0007 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0008 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0010 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0011 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0012 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0014 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0016 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0017 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0018 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0020 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0020 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0023 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0024 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0025 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0026 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0028 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0028 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0030 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0031 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0032 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0034 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0035 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0036 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0038 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0038 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0040 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0041 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0042 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0043 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0045 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0046 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0048 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0049 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0050 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0051 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0053 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0054 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0055 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0056 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 113
20230730-113347-0057 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0057 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0059 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0060 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0062 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0063 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0065 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0065 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0066 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0067 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0068 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0069 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0070 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0071 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0072 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0074 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0074 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0076 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0076 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0078 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0079 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0080 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0081 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0082 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0083 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0084 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0085 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0087 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0088 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0089 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0090 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0092 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0092 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0094 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0094 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0096 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0097 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0098 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0099 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0100 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
20230730-113347-0101 00057 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 114
