20230730-113324-8212 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,2308> to <0,2310>
20230730-113324-8214 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,2309> to <0,2310>
20230730-113334-4387 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27126> to <0,27128>
20230730-113334-4389 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27127> to <0,27129>
20230730-113334-4400 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27126> to <0,27138>
20230730-113334-4403 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27127> to <0,27140>
20230730-113334-4407 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27129> to <0,27142>
20230730-113334-4410 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27136> to <0,27145>
20230730-113337-6081 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,34645> to <0,34645>
20230730-113337-6081 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,34645> to <0,34645>
20230730-113338-9778 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,37908> to <0,37911>
20230730-113338-9779 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,37910> to <0,37911>
20230730-113340-6436 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42368> to <0,42370>
20230730-113342-9866 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,48838> to <0,48841>
20230730-113342-9867 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,48840> to <0,48841>
20230730-113347-0697 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57492> to <0,57501>
20230730-113347-0700 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57493> to <0,57502>
20230730-113347-0702 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57495> to <0,57503>
20230730-113347-0705 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57498> to <0,57506>
20230730-113352-1672 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1699 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1700 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1703 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1704 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1705 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1706 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1708 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1710 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1716 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1717 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1719 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1721 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1731 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1732 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1748 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1749 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1752 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1753 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1757 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1758 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1759 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1761 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1770 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1771 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
